"stock_exchange_type_desc","time","count","date","stock_exchange_type"
"深市主板",1671206400000,1168,"2022-12-17",4
"创业板",1671292800000,1043,"2022-12-18",2
"科创板",1671292800000,841,"2022-12-18",1
"沪市主板",1671292800000,2319,"2022-12-18",3
"深市主板",1671292800000,1168,"2022-12-18",4
"创业板",1671379200000,1043,"2022-12-19",2
"科创板",1671379200000,841,"2022-12-19",1
"沪市主板",1671379200000,2319,"2022-12-19",3
"深市主板",1671379200000,1168,"2022-12-19",4
"创业板",1671465600000,1043,"2022-12-20",2
"科创板",1671465600000,843,"2022-12-20",1
"沪市主板",1671465600000,2319,"2022-12-20",3
"深市主板",1671465600000,1168,"2022-12-20",4
"创业板",1671552000000,1044,"2022-12-21",2
"科创板",1671552000000,843,"2022-12-21",1
"沪市主板",1671552000000,2319,"2022-12-21",3
"深市主板",1671552000000,1168,"2022-12-21",4
"创业板",1671638400000,1044,"2022-12-22",2
"科创板",1671638400000,845,"2022-12-22",1
"沪市主板",1671638400000,2319,"2022-12-22",3
"深市主板",1671638400000,1168,"2022-12-22",4
"创业板",1671724800000,1046,"2022-12-23",2
"科创板",1671724800000,846,"2022-12-23",1
"沪市主板",1671724800000,2319,"2022-12-23",3
"深市主板",1671724800000,1168,"2022-12-23",4
"创业板",1671811200000,1047,"2022-12-24",2
"科创板",1671811200000,847,"2022-12-24",1
"沪市主板",1671811200000,2319,"2022-12-24",3
"深市主板",1671811200000,1168,"2022-12-24",4
"创业板",1671897600000,1047,"2022-12-25",2
"科创板",1671897600000,847,"2022-12-25",1
"沪市主板",1671897600000,2319,"2022-12-25",3
"深市主板",1671897600000,1168,"2022-12-25",4
"创业板",1672243200000,1057,"2022-12-29",2
"科创板",1672243200000,849,"2022-12-29",1
"沪市主板",1672243200000,2319,"2022-12-29",3
"深市主板",1672243200000,1168,"2022-12-29",4
"创业板",1672329600000,1058,"2022-12-30",2
"科创板",1672329600000,858,"2022-12-30",1
"沪市主板",1672329600000,2319,"2022-12-30",3
"深市主板",1672329600000,1168,"2022-12-30",4
"创业板",1672416000000,1059,"2022-12-31",2
"科创板",1672416000000,868,"2022-12-31",1
"沪市主板",1672416000000,2319,"2022-12-31",3
"深市主板",1672416000000,1168,"2022-12-31",4
"创业板",1672502400000,1060,"2023-01-01",2
"科创板",1672502400000,868,"2023-01-01",1
"沪市主板",1672502400000,2319,"2023-01-01",3
"深市主板",1672502400000,1168,"2023-01-01",4
"创业板",1672588800000,1060,"2023-01-02",2
"科创板",1672588800000,868,"2023-01-02",1
"沪市主板",1672588800000,2319,"2023-01-02",3
"深市主板",1672588800000,1168,"2023-01-02",4
"创业板",1672675200000,1060,"2023-01-03",2
"科创板",1672675200000,868,"2023-01-03",1
"沪市主板",1672675200000,2319,"2023-01-03",3
"深市主板",1672675200000,1168,"2023-01-03",4
"创业板",1672761600000,1060,"2023-01-04",2
"科创板",1672761600000,868,"2023-01-04",1
"沪市主板",1672761600000,2319,"2023-01-04",3
"深市主板",1672761600000,1168,"2023-01-04",4
"创业板",1672848000000,1060,"2023-01-05",2
"科创板",1672848000000,868,"2023-01-05",1
"沪市主板",1672848000000,2319,"2023-01-05",3
"深市主板",1672848000000,1168,"2023-01-05",4
"创业板",1672934400000,1060,"2023-01-06",2
"科创板",1672934400000,868,"2023-01-06",1
"沪市主板",1672934400000,2319,"2023-01-06",3
"深市主板",1672934400000,1168,"2023-01-06",4
"创业板",1673020800000,1060,"2023-01-07",2
"科创板",1673020800000,868,"2023-01-07",1
"沪市主板",1673020800000,2338,"2023-01-07",3
"深市主板",1673020800000,1183,"2023-01-07",4
"创业板",1673107200000,1060,"2023-01-08",2
"科创板",1673107200000,868,"2023-01-08",1
"沪市主板",1673107200000,2338,"2023-01-08",3
"深市主板",1673107200000,1183,"2023-01-08",4
"创业板",1673193600000,1060,"2023-01-09",2
"科创板",1673193600000,868,"2023-01-09",1
"沪市主板",1673193600000,2338,"2023-01-09",3
"深市主板",1673193600000,1183,"2023-01-09",4
"创业板",1673280000000,1060,"2023-01-10",2
"科创板",1673280000000,868,"2023-01-10",1
"沪市主板",1673280000000,2338,"2023-01-10",3
"深市主板",1673280000000,1184,"2023-01-10",4
"创业板",1673366400000,1060,"2023-01-11",2
"科创板",1673366400000,868,"2023-01-11",1
"沪市主板",1673366400000,2338,"2023-01-11",3
"深市主板",1673366400000,1184,"2023-01-11",4
"创业板",1673452800000,1060,"2023-01-12",2
"科创板",1673452800000,868,"2023-01-12",1
"沪市主板",1673452800000,2338,"2023-01-12",3
"深市主板",1673452800000,1184,"2023-01-12",4
"创业板",1673539200000,1060,"2023-01-13",2
"科创板",1673539200000,868,"2023-01-13",1
"沪市主板",1673539200000,2338,"2023-01-13",3
"深市主板",1673539200000,1184,"2023-01-13",4
"创业板",1673625600000,1060,"2023-01-14",2
"科创板",1673625600000,868,"2023-01-14",1
"沪市主板",1673625600000,2341,"2023-01-14",3
"深市主板",1673625600000,1188,"2023-01-14",4
"创业板",1673712000000,1060,"2023-01-15",2
"科创板",1673712000000,868,"2023-01-15",1
"沪市主板",1673712000000,2341,"2023-01-15",3
"深市主板",1673712000000,1188,"2023-01-15",4
"创业板",1673798400000,1060,"2023-01-16",2
"科创板",1673798400000,868,"2023-01-16",1
"沪市主板",1673798400000,2341,"2023-01-16",3
"深市主板",1673798400000,1188,"2023-01-16",4
"沪市主板",1674057600000,2361,"2023-01-19",3
"深市主板",1674057600000,1195,"2023-01-19",4
"创业板",1673884800000,1060,"2023-01-17",2
"科创板",1673884800000,868,"2023-01-17",1
"沪市主板",1673884800000,2361,"2023-01-17",3
"深市主板",1673884800000,1195,"2023-01-17",4
"创业板",1673971200000,1060,"2023-01-18",2
"科创板",1673971200000,868,"2023-01-18",1
"沪市主板",1673971200000,2361,"2023-01-18",3
"深市主板",1673971200000,1195,"2023-01-18",4
"创业板",1674057600000,1060,"2023-01-19",2
"科创板",1674057600000,868,"2023-01-19",1
"创业板",1674144000000,1060,"2023-01-20",2
"科创板",1674144000000,868,"2023-01-20",1
"沪市主板",1674144000000,2361,"2023-01-20",3
"深市主板",1674144000000,1195,"2023-01-20",4
"创业板",1674230400000,1060,"2023-01-21",2
"科创板",1674230400000,868,"2023-01-21",1
"沪市主板",1674230400000,2361,"2023-01-21",3
"深市主板",1674230400000,1195,"2023-01-21",4
"创业板",1674316800000,1060,"2023-01-22",2
